BY/112 11.04. ТР013 045.01 01383	29.06.2022	Открытое акционерное общество "Батчи"	завершенное строительством здание доильно-молочного блока в МТК вблизи д. Девятки	И.А.Бортновская	Область Брестская, Район Кобринский, аг. Батчи, ул. Садовая, 12, индекс 225874
BY/112 11.05. ТР013 045.01 01382	29.06.2022	Государственное унитарное проектно-изыскательское предприятие "Институт Брестстройпроект"	проектная документация по объекту № 20/01-22 «Возведение одного коровника на 320 голов и доильно-молочного блока на МТФ «Бор - Дубенец» в д. Бор - Дубенец	И.А.Бортновская	Область Брестская, г. Брест, ул. Пушкинская, 19, индекс 224005
BY/112 11.05. ТР013 045.01 01381	29.06.2022	Общество с ограниченной ответственностью "ТТКэлектросистем"	проектная документация по объекту № 47/21 «Реконструкция участков ВЛ-10 кВ № 297 Пинского района с полным демонтажем существующих ЛЭП (участки опор №142-4/38, №149-187)»	И.А.Бортновская	225038, Брестская обл., Брестский р-н, Клейниковский c/c, р-н аг. Клейники
BY/112 11.04. ТР013 045.01 01380	29.06.2022	Коммунальное унитарное производственно-строительное предприятие "Брестжилстрой"	завершенное строительством здание многоквартирный жилой дом по ул. Новая, 4А в аг. Вистычи Брестского района	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоздецкого, 11, индекс 224028
BY/112 11.04. ТР013 045.01 01379	29.06.2022	Коммунальное унитарное предприятие "Брестское областное управление капитального строительства"	завершенное строительством здание многоквартирный жилой дом по ул. Лейтенанта Рябцева по г/п 14	И.А.Бортновская	Область Брестская, г. Брест, ул. Наганова, 10
BY/112 11.05. ТР013 045.01 01378	29.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 044.20 «Одноквартирный жилой дом для многодетной семьи в д. Чернаки Каменецкого района»	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01377	29.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 059-1.20 "Капитальный ремонт концертного зала и фойе ГУК "Брестский ООКЦ" по адресу г. Брест, ул. Коммунистическая, 1". Внесение изменений.	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.04. ТР013 045.01 01376	29.06.2022	Открытое акционерное общество "Батчи"	завершенное строительством здание коровника № 1 на 600 коров в МТК вблизи д. Девятки	И.А.Бортновская	Область Брестская, Район Кобринский, аг. Батчи, ул. Садовая, 12, индекс 225874
BY/112 11.05. ТР013 045.01 01375	29.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 098.21 «Капитальный ремонт по замене больничного лифта ПБ-053А рег. № 26-320596 в главном корпусе УЗ «Брестский областной кожно-венерологический диспансер» по адресу: г. Брест, ул. Медицинская, 11»	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01374	29.06.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 029.21 "Благоустройство территории автовокзала в пределах существующей площадки по ул. Дзержинского, 115 в г. Кобрине"	Л.Д.Павлюкевич	Область Брестская, г. Брест, ул. Интернациональная, 16, индекс 224030
BY/112 11.05. ТР013 045.01 01373	29.06.2022	Общество с ограниченной ответственностью "БрестКАДпроект"	проектная документация по объекту № 22-пр003 «Строительство торгового комплекса с придорожным сервисом по адресу: Минский р-н, Колодищанский с/с, аг. Колодищи, ул. Энтузиастов, 2»	И.А.Бортновская	Область Брестская, г. Брест, ул. Карла Маркса, 33,  72, индекс 224005
BY/112 11.04. ТР013 045.01 01372	28.06.2022	Дочернее коммунальное унитарное предприятие по капитальному строительству "УКС Жабинковского района"	завершенное строительством здание многоквартирный жилой дом по ГП-10 в квартале по ул. Мира, Кобринская, Здитовская, Центральная в г. Жабинка (1 пусковой комплекс - жилой дом)	И.А.Бортновская	Область Брестская, Район Жабинковский, г. Жабинка, ул. Свободы, 6а, индекс 225101
BY/112 11.05. ТР013 045.01 01371	28.06.2022	Общество с ограниченной ответственностью "Приорпроект"	проектная документация по объекту № 197/2022 «Модернизация здания склада для хранения металлоконструкций №1 на унитарном предприятии «Брестские традиции» по адресу: Кобринский район, на 3 км Гомельского шоссе»	И.А.Бортновская	Область Брестская, г. Брест, ул. Карла Маркса, 81, индекс 224030
