BY/112 04.14. ТР013 045.01 00271	0317671	24.03.2023	23.03.2028	КУПП "Коммунальник"	Пружанское коммунальное унитарное производственное предприятие "Коммунальник"	Пружанское коммунальное унитарное производственное предприятие "Коммунальник"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00270	0317670	24.03.2023	23.03.2028	КУПП "Коммунальник"	Пружанское коммунальное унитарное производственное предприятие "Коммунальник"	Пружанское коммунальное унитарное производственное предприятие "Коммунальник"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00269	0317669	17.03.2023	16.03.2028	ЗАО "Оптималсервис"	Закрытое акционерное общество "Оптималсервис"	Закрытое акционерное общество "Оптималсервис"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00268	0317663	07.03.2023	06.03.2028	ОАО "ПМК №143" г. Волковыск	Открытое акционерное общество "Передвижная механизированная колонна №143" г. Волковыск	Открытое акционерное общество "Передвижная механизированная колонна №143" г.Волковыск	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00267	0317648	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по устройству оснований, фундаментов сооружений  на основании из естественных грунтов
BY/112 04.14. ТР013 045.01 00266	0317649	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00265	0317650	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие и тяжёлые штукатурные системы утепления, вентилируемые системы утепления, системы утепления на основе комплексных теплоизоляционных материалов, монолитных утеплителей, утепление цоколей, крыш и перекрытий 
BY/112 04.14. ТР013 045.01 00264	0317651	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из металлических листов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00263	0317652	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия
BY/112 04.14. ТР013 045.01 00262	0317653	28.02.2023	27.02.2028	ОАО "Строительный трест № 8"	Открытое акционерное общество "Строительный трест № 8"	Филиал "Строительное управление № 98" Открытого акционерного общества "Строительный трест № 8"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
